date,price
2015-04-08 00:00:00,245.89
2015-04-09 00:00:00,244.98
2015-04-10 00:00:00,235.71
2015-04-11 00:00:00,236.7
2015-04-12 00:00:00,236.76
2015-04-13 00:00:00,225.99
2015-04-14 00:00:00,216.0
2015-04-15 00:00:00,218.96
2015-04-16 00:00:00,229.62
2015-04-17 00:00:00,222.67
2015-04-18 00:00:00,222.32
2015-04-19 00:00:00,225.72
2015-04-20 00:00:00,224.63
2015-04-21 00:00:00,224.88
2015-04-22 00:00:00,237.34
2015-04-23 00:00:00,235.48
2015-04-24 00:00:00,230.93
2015-04-25 00:00:00,228.6
2015-04-26 00:00:00,218.42
2015-04-27 00:00:00,222.59
2015-04-28 00:00:00,222.66
2015-04-29 00:00:00,225.69
2015-04-30 00:00:00,235.13
2015-05-01 00:00:00,233.43
2015-05-02 00:00:00,234.13
2015-05-03 00:00:00,240.51
2015-05-04 00:00:00,236.17
2015-05-05 00:00:00,234.66
2015-05-06 00:00:00,235.79
2015-05-07 00:00:00,233.99
2015-05-08 00:00:00,244.72
2015-05-09 00:00:00,241.08
2015-05-10 00:00:00,239.35
2015-05-11 00:00:00,244.19
2015-05-12 00:00:00,241.51
2015-05-13 00:00:00,242.72
2015-05-14 00:00:00,238.32
2015-05-15 00:00:00,237.6
2015-05-16 00:00:00,236.63
2015-05-17 00:00:00,235.78
2015-05-18 00:00:00,236.45
2015-05-19 00:00:00,232.04
2015-05-20 00:00:00,234.6
2015-05-21 00:00:00,236.0
2015-05-22 00:00:00,240.5
2015-05-23 00:00:00,238.77
2015-05-24 00:00:00,240.46
2015-05-25 00:00:00,235.65
2015-05-26 00:00:00,235.94
2015-05-27 00:00:00,235.0
2015-05-28 00:00:00,236.48
2015-05-29 00:00:00,235.87
2015-05-30 00:00:00,231.12
2015-05-31 00:00:00,231.95
2015-06-01 00:00:00,222.4
2015-06-02 00:00:00,224.83
2015-06-03 00:00:00,226.29
2015-06-04 00:00:00,225.54
2015-06-05 00:00:00,224.15
2015-06-06 00:00:00,224.49
2015-06-07 00:00:00,222.6
2015-06-08 00:00:00,228.0
2015-06-09 00:00:00,230.1
2015-06-10 00:00:00,228.01
2015-06-11 00:00:00,229.0
2015-06-12 00:00:00,229.98
2015-06-13 00:00:00,230.22
2015-06-14 00:00:00,232.05
2015-06-15 00:00:00,236.46
2015-06-16 00:00:00,245.35
2015-06-17 00:00:00,249.96
2015-06-18 00:00:00,248.25
2015-06-19 00:00:00,246.45
2015-06-20 00:00:00,244.08
2015-06-21 00:00:00,242.47
2015-06-22 00:00:00,246.35
2015-06-23 00:00:00,243.92
2015-06-24 00:00:00,240.64
2015-06-25 00:00:00,241.92
2015-06-26 00:00:00,241.19
2015-06-27 00:00:00,248.5
2015-06-28 00:00:00,248.76
2015-06-29 00:00:00,253.8
2015-06-30 00:00:00,262.53
2015-07-01 00:00:00,257.85
2015-07-02 00:00:00,255.06
2015-07-03 00:00:00,255.1
2015-07-04 00:00:00,257.92
2015-07-05 00:00:00,270.92
2015-07-06 00:00:00,273.37
2015-07-07 00:00:00,267.26
2015-07-08 00:00:00,269.68
2015-07-09 00:00:00,270.68
2015-07-10 00:00:00,286.98
2015-07-11 00:00:00,293.5
2015-07-12 00:00:00,309.3
2015-07-13 00:00:00,289.9
2015-07-14 00:00:00,292.87
2015-07-15 00:00:00,290.95
2015-07-16 00:00:00,275.76
2015-07-17 00:00:00,277.99
2015-07-18 00:00:00,278.08
2015-07-19 00:00:00,276.09
2015-07-20 00:00:00,278.26
2015-07-21 00:00:00,278.97
2015-07-22 00:00:00,277.54
2015-07-23 00:00:00,276.64
2015-07-24 00:00:00,287.3
2015-07-25 00:00:00,287.12
2015-07-26 00:00:00,292.33
2015-07-27 00:00:00,290.79
2015-07-28 00:00:00,295.24
2015-07-29 00:00:00,290.7
2015-07-30 00:00:00,287.56
2015-07-31 00:00:00,284.78
2015-08-01 00:00:00,280.72
2015-08-02 00:00:00,280.69
2015-08-03 00:00:00,284.39
2015-08-04 00:00:00,285.0
2015-08-05 00:00:00,282.69
2015-08-06 00:00:00,277.1
2015-08-07 00:00:00,279.39
2015-08-08 00:00:00,269.89
2015-08-09 00:00:00,265.42
2015-08-10 00:00:00,264.07
2015-08-11 00:00:00,265.85
2015-08-12 00:00:00,267.89
2015-08-13 00:00:00,265.97
2015-08-14 00:00:00,266.99
2015-08-15 00:00:00,265.41
2015-08-16 00:00:00,257.47
2015-08-17 00:00:00,257.45
2015-08-18 00:00:00,253.91
2015-08-19 00:00:00,233.29
2015-08-20 00:00:00,233.23
2015-08-21 00:00:00,233.59
2015-08-22 00:00:00,226.04
2015-08-23 00:00:00,228.68
2015-08-24 00:00:00,213.24
2015-08-25 00:00:00,222.02
2015-08-26 00:00:00,228.84
2015-08-27 00:00:00,228.27
2015-08-28 00:00:00,234.17
2015-08-29 00:00:00,228.22
2015-08-30 00:00:00,226.47
2015-08-31 00:00:00,230.94
2015-09-01 00:00:00,228.32
2015-09-02 00:00:00,230.68
2015-09-03 00:00:00,227.42
2015-09-04 00:00:00,230.8
2015-09-05 00:00:00,234.67
2015-09-06 00:00:00,240.2
2015-09-07 00:00:00,241.31
2015-09-08 00:00:00,243.08
2015-09-09 00:00:00,240.08
2015-09-10 00:00:00,239.68
2015-09-11 00:00:00,239.93
2015-09-12 00:00:00,235.13
2015-09-13 00:00:00,229.86
2015-09-14 00:00:00,230.88
2015-09-15 00:00:00,230.0
2015-09-16 00:00:00,227.86
2015-09-17 00:00:00,234.0
2015-09-18 00:00:00,232.99
2015-09-19 00:00:00,230.71
2015-09-20 00:00:00,230.2
2015-09-21 00:00:00,226.56
2015-09-22 00:00:00,229.43
2015-09-23 00:00:00,229.95
2015-09-24 00:00:00,233.9
2015-09-25 00:00:00,235.79
2015-09-26 00:00:00,233.76
2015-09-27 00:00:00,232.85
2015-09-28 00:00:00,238.94
2015-09-29 00:00:00,237.68
2015-09-30 00:00:00,237.91
2015-10-01 00:00:00,238.98
2015-10-02 00:00:00,237.78
2015-10-03 00:00:00,239.17
2015-10-04 00:00:00,239.47
2015-10-05 00:00:00,239.22
2015-10-06 00:00:00,246.67
2015-10-07 00:00:00,245.25
2015-10-08 00:00:00,243.91
2015-10-09 00:00:00,244.78
2015-10-10 00:00:00,245.79
2015-10-11 00:00:00,248.08
2015-10-12 00:00:00,246.63
2015-10-13 00:00:00,249.58
2015-10-14 00:00:00,254.6
2015-10-15 00:00:00,254.73
2015-10-16 00:00:00,262.31
2015-10-17 00:00:00,269.07
2015-10-18 00:00:00,262.44
2015-10-19 00:00:00,264.16
2015-10-20 00:00:00,269.8
2015-10-21 00:00:00,269.1
2015-10-22 00:00:00,273.95
2015-10-23 00:00:00,277.43
2015-10-24 00:00:00,279.9
2015-10-25 00:00:00,295.01
2015-10-26 00:00:00,284.95
2015-10-27 00:00:00,294.73
2015-10-28 00:00:00,298.95
2015-10-29 00:00:00,310.36
2015-10-30 00:00:00,329.2
2015-10-31 00:00:00,310.92
2015-11-01 00:00:00,311.5
2015-11-02 00:00:00,340.69
2015-11-03 00:00:00,409.0
2015-11-04 00:00:00,437.05
2015-11-05 00:00:00,400.0
2015-11-06 00:00:00,388.38
2015-11-07 00:00:00,387.38
2015-11-08 00:00:00,381.51
2015-11-09 00:00:00,378.8
2015-11-10 00:00:00,353.58
2015-11-11 00:00:00,309.9
2015-11-12 00:00:00,331.6
2015-11-13 00:00:00,332.2
2015-11-14 00:00:00,331.9
2015-11-15 00:00:00,322.33
2015-11-16 00:00:00,329.32
2015-11-17 00:00:00,335.95
2015-11-18 00:00:00,334.46
2015-11-19 00:00:00,329.0
2015-11-20 00:00:00,320.62
2015-11-21 00:00:00,325.56
2015-11-22 00:00:00,322.33
2015-11-23 00:00:00,324.49
2015-11-24 00:00:00,321.1
2015-11-25 00:00:00,325.0
2015-11-26 00:00:00,348.0
2015-11-27 00:00:00,359.54
2015-11-28 00:00:00,353.88
2015-11-29 00:00:00,363.98
2015-11-30 00:00:00,372.53
2015-12-01 00:00:00,359.32
2015-12-02 00:00:00,360.98
2015-12-03 00:00:00,362.49
2015-12-04 00:00:00,360.88
2015-12-05 00:00:00,377.72
2015-12-06 00:00:00,390.04
2015-12-07 00:00:00,395.58
2015-12-08 00:00:00,394.99
2015-12-09 00:00:00,414.01
2015-12-10 00:00:00,415.64
2015-12-11 00:00:00,444.29
2015-12-12 00:00:00,426.06
2015-12-13 00:00:00,438.79
2015-12-14 00:00:00,445.6
2015-12-15 00:00:00,459.48
2015-12-16 00:00:00,454.43
2015-12-17 00:00:00,453.39
2015-12-18 00:00:00,458.95
2015-12-19 00:00:00,461.16
2015-12-20 00:00:00,434.98
2015-12-21 00:00:00,438.7
2015-12-22 00:00:00,435.98
2015-12-23 00:00:00,441.4
2015-12-24 00:00:00,453.95
2015-12-25 00:00:00,454.98
2015-12-26 00:00:00,417.99
2015-12-27 00:00:00,418.46
2015-12-28 00:00:00,423.98
2015-12-29 00:00:00,431.13
2015-12-30 00:00:00,428.0
2015-12-31 00:00:00,429.34
2016-01-01 00:00:00,432.33
2016-01-02 00:00:00,433.94
2016-01-03 00:00:00,428.13
2016-01-04 00:00:00,433.0
2016-01-05 00:00:00,431.9
2016-01-06 00:00:00,430.75
2016-01-07 00:00:00,453.71
2016-01-08 00:00:00,447.04
2016-01-09 00:00:00,450.15
2016-01-10 00:00:00,446.24
2016-01-11 00:00:00,447.11
2016-01-12 00:00:00,446.66
2016-01-13 00:00:00,429.57
2016-01-14 00:00:00,431.9
2016-01-15 00:00:00,391.62
2016-01-16 00:00:00,370.4
2016-01-17 00:00:00,385.45
2016-01-18 00:00:00,385.28
2016-01-19 00:00:00,378.66
2016-01-20 00:00:00,408.33
2016-01-21 00:00:00,408.0
2016-01-22 00:00:00,385.7
2016-01-23 00:00:00,388.5
2016-01-24 00:00:00,404.75
2016-01-25 00:00:00,387.09
2016-01-26 00:00:00,394.12
2016-01-27 00:00:00,394.45
2016-01-28 00:00:00,382.44
2016-01-29 00:00:00,377.26
2016-01-30 00:00:00,378.24
2016-01-31 00:00:00,376.86
2016-02-01 00:00:00,372.0
2016-02-02 00:00:00,373.48
2016-02-03 00:00:00,368.38
2016-02-04 00:00:00,385.06
2016-02-05 00:00:00,386.49
2016-02-06 00:00:00,373.04
2016-02-07 00:00:00,373.74
2016-02-08 00:00:00,375.8
2016-02-09 00:00:00,372.61
2016-02-10 00:00:00,378.98
2016-02-11 00:00:00,376.75
2016-02-12 00:00:00,381.46
2016-02-13 00:00:00,388.6
2016-02-14 00:00:00,402.38
2016-02-15 00:00:00,402.64
2016-02-16 00:00:00,406.69
2016-02-17 00:00:00,418.04
2016-02-18 00:00:00,418.97
2016-02-19 00:00:00,418.02
2016-02-20 00:00:00,439.48
2016-02-21 00:00:00,434.67
2016-02-22 00:00:00,438.5
2016-02-23 00:00:00,417.0
2016-02-24 00:00:00,423.1
2016-02-25 00:00:00,421.4
2016-02-26 00:00:00,424.34
2016-02-27 00:00:00,432.0
2016-02-28 00:00:00,433.47
2016-02-29 00:00:00,436.18
2016-03-01 00:00:00,431.87
2016-03-02 00:00:00,429.99
2016-03-03 00:00:00,421.44
2016-03-04 00:00:00,416.48
2016-03-05 00:00:00,401.0
2016-03-06 00:00:00,408.86
2016-03-07 00:00:00,411.94
2016-03-08 00:00:00,412.39
2016-03-09 00:00:00,413.1
2016-03-10 00:00:00,416.0
2016-03-11 00:00:00,421.22
2016-03-12 00:00:00,410.0
2016-03-13 00:00:00,412.44
2016-03-14 00:00:00,413.89
2016-03-15 00:00:00,414.78
2016-03-16 00:00:00,415.99
2016-03-17 00:00:00,418.64
2016-03-18 00:00:00,408.87
2016-03-19 00:00:00,405.59
2016-03-20 00:00:00,410.77
2016-03-21 00:00:00,410.49
2016-03-22 00:00:00,415.35
2016-03-23 00:00:00,417.8
2016-03-24 00:00:00,416.47
2016-03-25 00:00:00,416.44
2016-03-26 00:00:00,415.71
2016-03-27 00:00:00,426.8
2016-03-28 00:00:00,422.96
2016-03-29 00:00:00,414.0
2016-03-30 00:00:00,412.35
2016-03-31 00:00:00,416.94
2016-04-01 00:00:00,416.25
2016-04-02 00:00:00,418.07
2016-04-03 00:00:00,418.07
2016-04-04 00:00:00,418.99
2016-04-05 00:00:00,421.77
2016-04-06 00:00:00,421.09
2016-04-07 00:00:00,420.33
2016-04-08 00:00:00,422.2
2016-04-09 00:00:00,417.73
